Autobiographical Reading and writing: 2017-18,628,5,6,Service Learning Academy,Fall,3,3,14,140,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Children's Literature: 2017-18 (004),596,5,6,Service Learning Academy,Summer,3,3,21,31,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Agile Development Methods: 2017-18,636,5,6,Service Learning Academy,Spring,3,3,9,135,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
College Prep and Family Learning: 2017-18 (001),558,5,6,Service Learning Academy,Fall,3,3,24,768,29,188,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Ethnic Diversity Class (Completely KIDS: 2017-18,523,5,6,Service Learning Academy,Spring,3,3,4,72,12,12,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Ethnic Diversity Class (Girls Inc): 2017-18,522,5,6,Service Learning Academy,Spring,3,3,4,72,12,12,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
evolve: 2017-18,718,5,6,Service Learning Academy,Spring,3,3,53,583,18,234,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Black Experience in American Politics: 2017-18 (001),614,5,6,Service Learning Academy,Fall,3,3,25,56,15,18,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Black Experience in American Politics: 2017-18 (002),613,5,6,Service Learning Academy,Spring,3,3,15,45,13,13,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
College Prep Family Learning: 2017-18,556,5,6,Service Learning Academy,Spring,3,3,23,356,31,403,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Communication and K2 Awareness: 2017-18,554,5,6,Service Learning Academy,Fall,3,3,19,142,23,109,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Behavior Analysis and Intervention: 2017-18,621,5,6,Service Learning Academy,Fall,3,3,7,175,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Capstone Management Information Systems and Quantitative Analysis: 2017-18,604,5,6,Service Learning Academy,Spring,3,3,12,180,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Elementary Spanish Club I: 2017-18,525,5,6,Service Learning Academy,Fall,3,3,27,324,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
